"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2536","should validate required fields one by one","","Fri May 09 08:00:35 UTC 2025","passed","Fri May 09 08:00:37 UTC 2025","","Shipping Form Stepwise Validation","",""
"","801","errors when missing password","","Fri May 09 08:00:32 UTC 2025","passed","Fri May 09 08:00:33 UTC 2025","","Login Negative Scenarios","",""
"","933","errors when wrong credentials","","Fri May 09 08:00:33 UTC 2025","passed","Fri May 09 08:00:34 UTC 2025","","Login Negative Scenarios","",""
"","1195","updates total when item quantity changes","","Fri May 09 08:00:25 UTC 2025","passed","Fri May 09 08:00:26 UTC 2025","","E-commerce Auth & Order Flow","",""
"","413","should upload a text file successfully","","Fri May 09 08:00:28 UTC 2025","passed","Fri May 09 08:00:28 UTC 2025","","File Upload Functionality","",""
"","604","errors when both fields empty","","Fri May 09 08:00:31 UTC 2025","passed","Fri May 09 08:00:32 UTC 2025","","Login Negative Scenarios","",""
"","203","should show empty file upload message when none is selected","","Fri May 09 08:00:28 UTC 2025","passed","Fri May 09 08:00:28 UTC 2025","","File Upload Functionality","",""
"","1478","removes an item and updates the cart total","","Fri May 09 08:00:23 UTC 2025","passed","Fri May 09 08:00:25 UTC 2025","","E-commerce Auth & Order Flow","",""
"","2704","validates form fields with empty data","","Fri May 09 08:00:19 UTC 2025","passed","Fri May 09 08:00:22 UTC 2025","","E-commerce Auth & Order Flow","",""
"","4973","completes the happy path flow","","Fri May 09 08:00:14 UTC 2025","passed","Fri May 09 08:00:19 UTC 2025","","E-commerce Auth & Order Flow","",""
"","1018","errors on invalid email format","","Fri May 09 08:00:30 UTC 2025","passed","Fri May 09 08:00:31 UTC 2025","","Login Negative Scenarios","",""
"","1017","prevents adding the same product twice","","Fri May 09 08:00:22 UTC 2025","passed","Fri May 09 08:00:23 UTC 2025","","E-commerce Auth & Order Flow","",""
"","199","should handle large file upload (edge case)","","Fri May 09 08:00:28 UTC 2025","passed","Fri May 09 08:00:29 UTC 2025","","File Upload Functionality","",""
